BBtime,CandyDispensed,CandyTaken
16.749,1,0
16.752,0,1
35.159,1,0
35.162,0,1
42.833,1,0
42.836,0,1
52.714,1,0
52.717,0,1
59.979,1,0
59.982,0,1
67.353,1,0
67.356,0,1
79.432,1,0
79.435,0,1
83.456,1,0
83.459,0,1
92.550,1,0
92.553,0,1
97.135,1,0
97.138,0,1
216.710,1,0
228.399,1,0
235.894,1,0
244.489,1,0
255.258,1,0
275.591,1,0
285.034,1,0
295.308,1,0
299.257,1,0
324.737,1,0
335.132,1,0
358.015,1,0
366.527,1,0
372.013,1,0
372.016,0,1
372.019,0,1
372.022,0,1
372.025,0,1
372.029,0,1
372.032,0,1
372.035,0,1
372.038,0,1
372.041,0,1
372.044,0,1
372.047,0,1
372.050,0,1
372.053,0,1
372.056,0,1
383.305,1,0
383.309,0,1
401.197,1,0
426.257,1,0
469.267,1,0
